Episode,Reward,Epsilon,Steps
261,439.5,0.592,333
262,322.0,0.591,252
263,272.5,0.589,184
264,263.5,0.588,186
265,436.5,0.587,354
266,452.5,0.586,357
267,360.0,0.585,284
268,422.5,0.584,367
269,367.0,0.582,283
270,268.0,0.581,215
271,297.0,0.580,217
272,343.0,0.579,285
273,372.0,0.578,290
274,292.0,0.577,223
275,312.0,0.575,249
276,291.0,0.574,214
277,345.0,0.573,289
278,413.5,0.572,326
279,417.5,0.571,324
280,277.0,0.570,212
281,245.5,0.569,178
282,269.5,0.567,213
283,296.0,0.566,215
284,343.0,0.565,251
285,259.5,0.564,181
286,274.0,0.563,211
287,297.0,0.562,212
288,280.5,0.561,183
289,458.5,0.560,363
290,279.5,0.558,183
291,395.5,0.557,322
292,271.0,0.556,192
293,314.0,0.555,228
294,260.5,0.554,183
295,258.5,0.553,182
296,352.0,0.552,284
297,406.5,0.551,349
298,306.5,0.550,188
299,355.0,0.548,289
300,428.5,0.547,320
301,325.0,0.546,248
302,382.5,0.545,286
303,270.5,0.544,212
304,230.5,0.543,179
305,267.5,0.542,186
306,370.0,0.541,290
307,295.0,0.540,249
308,305.0,0.539,218
309,309.0,0.538,253
310,312.0,0.537,222
311,306.0,0.535,216
312,393.0,0.534,286
313,234.5,0.533,153
314,384.0,0.532,286
315,253.5,0.531,182
316,310.0,0.530,249
317,278.5,0.529,180
318,240.5,0.528,177
319,308.0,0.527,213
320,253.5,0.526,179
321,364.0,0.525,285
322,399.0,0.524,318
323,314.0,0.523,261
324,288.0,0.522,216
325,371.0,0.521,251
326,332.0,0.520,260
327,291.5,0.519,211
328,333.0,0.518,251
329,280.0,0.517,213
330,289.0,0.515,213
331,295.0,0.514,215
332,281.0,0.513,220
333,427.5,0.512,360
334,263.5,0.511,183
335,430.5,0.510,319
336,301.0,0.509,250
337,258.5,0.508,178
338,336.0,0.507,257
339,262.5,0.506,180
340,302.0,0.505,212
341,261.5,0.504,181
342,301.0,0.503,216
343,287.0,0.502,214
344,255.5,0.501,184
345,273.5,0.500,187
346,274.5,0.499,181
347,243.5,0.498,154
348,197.0,0.497,109
349,285.0,0.496,217
350,268.5,0.495,179
351,274.5,0.494,179
352,251.5,0.493,177
353,227.5,0.492,144
354,248.5,0.491,177
355,271.5,0.490,180
356,260.5,0.489,177
357,265.5,0.488,180
358,309.0,0.487,218
359,271.5,0.486,178
360,222.5,0.485,150
361,260.5,0.484,180
362,293.0,0.483,217
363,307.0,0.483,248
364,344.0,0.482,257
365,266.5,0.481,186
366,243.5,0.480,155
367,300.0,0.479,218
368,263.5,0.478,196
369,267.5,0.477,185
370,1023.5,0.476,784
371,393.0,0.475,300
372,281.0,0.474,214
373,386.0,0.473,286
374,252.5,0.472,147
375,275.5,0.471,177
376,321.0,0.470,218
377,303.5,0.469,181
378,290.5,0.468,179
379,289.5,0.467,178
380,822.5,0.466,551
381,270.5,0.465,180
382,286.5,0.465,178
383,333.0,0.464,249
384,252.5,0.463,179
385,264.5,0.462,178
386,327.0,0.461,218
387,249.5,0.460,145
388,300.5,0.459,212
389,303.0,0.458,215
390,262.5,0.457,150
391,239.5,0.456,149
392,281.0,0.455,215
393,273.5,0.454,177
394,315.0,0.453,246
395,217.5,0.453,144
396,244.5,0.452,147
397,271.5,0.451,178
398,282.5,0.450,179
399,348.0,0.449,253
400,258.5,0.448,178
401,359.0,0.447,265
402,255.5,0.446,178
403,237.5,0.445,147
404,282.5,0.444,177
405,236.5,0.444,144
406,291.5,0.443,178
407,278.5,0.442,187
408,266.5,0.441,182
409,254.5,0.440,151
410,198.5,0.439,120
411,423.5,0.438,330
412,363.0,0.437,248
413,783.0,0.437,469
414,269.5,0.436,184
415,278.5,0.435,184
416,329.0,0.434,250
417,731.0,0.433,471
418,257.5,0.432,212
419,342.0,0.431,253
420,329.5,0.430,212
421,1635.5,0.430,1000
422,344.0,0.429,253
423,283.5,0.428,187
424,312.0,0.427,224
425,337.0,0.426,255
426,256.5,0.425,177
427,305.5,0.424,212
428,359.0,0.424,260
429,285.5,0.423,183
430,212.5,0.422,148
431,279.0,0.421,215
432,296.0,0.420,197
433,230.5,0.419,145
434,182.5,0.419,109
435,264.5,0.418,151
436,222.5,0.417,144
437,255.5,0.416,190
438,229.5,0.415,145
439,265.5,0.414,177
440,223.5,0.414,145
441,283.5,0.413,214
442,217.5,0.412,144
443,275.5,0.411,185
444,261.5,0.410,177
445,259.5,0.409,181
446,206.5,0.409,151
447,363.0,0.408,255
448,289.0,0.407,216
449,247.5,0.406,145
450,213.5,0.405,144
451,307.5,0.405,199
452,300.5,0.404,223
453,195.5,0.403,114
454,247.5,0.402,146
455,269.5,0.401,178
456,247.5,0.401,148
457,293.5,0.400,179
458,211.5,0.399,146
459,303.5,0.398,186
460,301.5,0.397,184
461,200.5,0.397,119
462,261.5,0.396,149
463,295.0,0.395,218
464,253.5,0.394,143
465,347.0,0.393,255
466,216.5,0.393,152
467,226.5,0.392,135
468,390.0,0.391,266
469,243.5,0.390,147
470,253.5,0.389,149
471,228.5,0.389,145
472,198.5,0.388,119
473,255.5,0.387,180
474,212.5,0.386,143
475,258.5,0.386,154
476,231.5,0.385,145
477,319.0,0.384,229
478,268.5,0.383,179
479,232.5,0.383,146
480,270.5,0.382,150
481,318.0,0.381,256
482,279.5,0.380,195
483,312.0,0.379,216
484,269.5,0.379,178
485,285.5,0.378,187
486,297.5,0.377,183
487,394.0,0.376,264
488,256.5,0.376,157
489,232.5,0.375,148
490,292.5,0.374,179
491,271.5,0.373,156
492,271.5,0.373,161
493,342.0,0.372,252
494,313.0,0.371,213
495,282.5,0.370,184
496,274.5,0.370,167
497,359.0,0.369,256
498,252.5,0.368,145
499,259.5,0.368,145
